Date (Time hr),id,Date,Queue,Agents Counts,Total Interactions,Transferred,Total Abandoned,Abandoned in T(s),Abandoned After T(s),Abandoned %,Abandoned In T(s) %,Abandoned After T(s) %,Response Rate,Total Answered,Answered In Thresh,Answered %,Answered in T(s) %,SLA %,AVG QHT,AVG RT,AVG TT,AVG ACW,AVG HT,Day,Month,Year,Quater,AHT,QHT,Date (Time hr)Queue
2026-02-23,1,23,Sales_Ops_Queue,2,5,0,0,0,0,0%,0%,0%,1,5,5,100%,100%,100%,0:00:18,0:00:12,0:00:24,7:37:47,0,23,2,2026,Q1,7:38:11,#VALUE!,46076Sales_Ops_Queue
2026-02-26,2,26,Sales_Ops_Queue,2,10,0,0,0,0,0%,0%,0%,0.9,10,9,100%,90%,90%,0:24:12,0:00:09,0:02:25,2:36:47,0,26,2,2026,Q1,2:39:12,#VALUE!,46079Sales_Ops_Queue
2026-02-27,3,27,Sales_Ops_Queue,1,1,0,0,0,0,0%,0%,0%,1,1,1,100%,100%,100%,0:00:12,0:00:12,0:00:57,19:59:49,0,27,2,2026,Q1,20:00:46,#VALUE!,46080Sales_Ops_Queue
2026-02-28,4,28,Sales_Ops_Queue,1,2,0,0,0,0,0%,0%,0%,1,2,2,100%,100%,100%,0:00:16,0:00:07,0:01:44,15:37:36,0,28,2,2026,Q1,15:39:20,#VALUE!,46081Sales_Ops_Queue
2026-03-02,1,2,Sales_Ops_Queue,3,11,0,0,0,0,0%,0%,0%,0.73,11,8,100%,73%,73%,0:25:16,0:00:09,4:04:05,0:06:39,0,2,3,2026,Q1,4:10:44,#VALUE!,46083Sales_Ops_Queue
2026-03-03,2,3,Sales_Ops_Queue,2,25,4,0,0,0,0%,0%,0%,0.88,25,22,100%,88%,88%,0:00:25,0:00:08,0:28:30,1:08:46,0:00:11,3,3,2026,Q1,1:37:27,#VALUE!,46084Sales_Ops_Queue
2026-03-04,3,4,Sales_Ops_Queue,2,7,0,0,0,0,0%,0%,0%,0.71,7,5,100%,71%,71%,0:51:02,0:00:09,0:04:22,0:32:32,0,4,3,2026,Q1,0:36:54,#VALUE!,46085Sales_Ops_Queue
2026-03-05,4,5,Sales_Ops_Queue,2,7,0,0,0,0,0%,0%,0%,0.86,7,6,100%,86%,86%,0:00:17,0:00:08,0:03:38,0:00:15,0,5,3,2026,Q1,0:03:53,#VALUE!,46086Sales_Ops_Queue
2026-03-06,5,6,Sales_Ops_Queue,1,3,0,0,0,0,0%,0%,0%,1,3,3,100%,100%,100%,0:00:07,0:00:07,0:04:12,0:00:05,0,6,3,2026,Q1,0:04:17,#VALUE!,46087Sales_Ops_Queue
2026-03-07,6,7,Sales_Ops_Queue,1,3,0,0,0,0,0%,0%,0%,0.67,3,2,100%,67%,67%,0:03:00,0:00:07,0:00:36,0:01:33,0,7,3,2026,Q1,0:02:09,#VALUE!,46088Sales_Ops_Queue
2026-03-08,7,8,Sales_Ops_Queue,1,9,0,0,0,0,0%,0%,0%,0.78,9,7,100%,78%,78%,0:34:18,0:00:05,0:01:17,0:01:04,0,8,3,2026,Q1,0:02:21,#VALUE!,46089Sales_Ops_Queue
2026-03-09,8,9,Sales_Ops_Queue,2,21,0,0,0,0,0%,0%,0%,0.9,21,19,100%,90%,90%,0:00:22,0:00:09,0:02:11,5:35:07,0,9,3,2026,Q1,5:37:18,#VALUE!,46090Sales_Ops_Queue
2026-03-10,9,10,Sales_Ops_Queue,2,5,2,0,0,0,0%,0%,0%,0.8,5,4,100%,80%,80%,0:00:47,0:00:12,0:04:57,0:01:03,0,10,3,2026,Q1,0:06:00,#VALUE!,46091Sales_Ops_Queue
2026-03-11,10,11,Sales_Ops_Queue,2,3,0,0,0,0,0%,0%,0%,0.33,3,1,100%,33%,33%,1:19:23,0:00:07,0:03:39,0:00:13,0,11,3,2026,Q1,0:03:52,#VALUE!,46092Sales_Ops_Queue
2026-03-12,11,12,Sales_Ops_Queue,1,2,0,0,0,0,0%,0%,0%,1,2,2,100%,100%,100%,0:00:24,0:00:19,0:06:22,0:01:00,0,12,3,2026,Q1,0:07:22,#VALUE!,46093Sales_Ops_Queue
2026-03-14,12,14,Sales_Ops_Queue,1,1,0,0,0,0,0%,0%,0%,1,1,1,100%,100%,100%,0:00:07,0:00:07,0:03:07,0:54:54,0,14,3,2026,Q1,0:58:01,#VALUE!,46095Sales_Ops_Queue
2026-03-15,13,15,Sales_Ops_Queue,1,8,0,0,0,0,0%,0%,0%,0.88,8,7,100%,88%,88%,0:01:06,0:00:04,0:03:11,1:13:30,0,15,3,2026,Q1,1:16:41,#VALUE!,46096Sales_Ops_Queue
2026-03-16,14,16,Sales_Ops_Queue,2,8,1,0,0,0,0%,0%,0%,1,8,8,100%,100%,100%,0:00:07,0:00:07,0:05:05,0:04:41,0,16,3,2026,Q1,0:09:46,#VALUE!,46097Sales_Ops_Queue
2026-03-17,15,17,Sales_Ops_Queue,2,3,0,0,0,0,0%,0%,0%,1,3,3,100%,100%,100%,0:00:28,0:00:07,0:08:01,1:03:54,0,17,3,2026,Q1,1:11:55,#VALUE!,46098Sales_Ops_Queue
2026-03-18,16,18,Sales_Ops_Queue,1,1,0,0,0,0,0%,0%,0%,1,1,1,100%,100%,100%,0:00:10,0:00:10,0:06:29,0:00:51,0,18,3,2026,Q1,0:07:20,#VALUE!,46099Sales_Ops_Queue
2026-03-19,17,19,Sales_Ops_Queue,1,1,0,0,0,0,0%,0%,0%,1,1,1,100%,100%,100%,0:00:05,0:00:05,0:01:34,0:00:09,0,19,3,2026,Q1,0:01:43,#VALUE!,46100Sales_Ops_Queue
2026-03-20,18,25,Sales_Ops_Queue,2,8,0,0,0,0,0%,0%,0%,0.88,8,7,100%,88%,88%,0:00:35,0:00:09,0:01:35,0:03:37,0,20,3,2026,Q1,0:05:12,#VALUE!,46101Sales_Ops_Queue
2026-03-26,19,26,Sales_Ops_Queue,2,2,1,0,0,0,0%,0%,0%,1,2,2,100%,100%,100%,0:00:10,0:00:10,0:03:10,0:00:02,0,26,3,2026,Q1,0:03:12,#VALUE!,46107Sales_Ops_Queue
2026-03-28,20,28,Sales_Ops_Queue,1,1,0,0,0,0,0%,0%,0%,1,1,1,100%,100%,100%,0:00:06,0:00:06,0:07:58,0:01:46,0,28,3,2026,Q1,0:09:44,#VALUE!,46109Sales_Ops_Queue
2026-03-29,21,29,Sales_Ops_Queue,1,2,0,0,0,0,0%,0%,0%,0.5,2,1,100%,50%,50%,0:00:56,0:00:03,0:03:24,0:00:07,0,29,3,2026,Q1,0:03:31,#VALUE!,46110Sales_Ops_Queue
2026-03-30,22,30,Sales_Ops_Queue,3,3,2,0,0,0,0%,0%,0%,1,3,3,100%,100%,100%,0:00:11,0:00:11,0:02:11,0:00:03,0,30,3,2026,Q1,0:02:14,#VALUE!,46111Sales_Ops_Queue
2026-04-02,23,2,Sales_Ops_Queue,1,2,0,0,0,0,0%,0%,0%,0.5,2,1,100%,50%,50%,0:02:22,0:00:07,0:03:49,0:00:52,0,2,4,2026,Q2,0:04:41,#VALUE!,46114Sales_Ops_Queue
2026-04-03,24,3,Sales_Ops_Queue,1,1,0,0,0,0,0%,0%,0%,1,1,1,100%,100%,100%,0:00:14,0:00:14,0:00:28,0:00:02,0,3,4,2026,Q2,0:00:30,#VALUE!,46115Sales_Ops_Queue
2026-04-04,25,4,Sales_Ops_Queue,2,5,1,1,1,0,20%,20%,0%,1,4,4,80%,80%,100%,0:00:17,0:00:07,0:04:36,0:00:11,0,4,4,2026,Q2,0:04:47,#VALUE!,46116Sales_Ops_Queue
2026-04-05,26,5,Sales_Ops_Queue,1,1,0,0,0,0,0%,0%,0%,1,1,1,100%,100%,100%,0:00:18,0:00:06,0:05:40,0:01:27,0,5,4,2026,Q2,0:07:07,#VALUE!,46117Sales_Ops_Queue
2026-04-06,27,6,Sales_Ops_Queue,1,1,0,0,0,0,0%,0%,0%,1,1,1,100%,100%,100%,0:00:05,0:00:05,0:01:45,0:00:06,0,6,4,2026,Q2,0:01:51,#VALUE!,46118Sales_Ops_Queue
2026-04-07,28,7,Sales_Ops_Queue,1,1,0,0,0,0,0%,0%,0%,1,1,1,100%,100%,100%,0:00:11,0:00:11,0:02:14,0:00:04,0,7,4,2026,Q2,0:02:18,#VALUE!,46119Sales_Ops_Queue
2026-04-08,29,8,Sales_Ops_Queue,1,1,0,0,0,0,0%,0%,0%,1,1,1,100%,100%,100%,0:00:10,0:00:10,0:03:09,0:00:09,0,8,4,2026,Q2,0:03:18,#VALUE!,46120Sales_Ops_Queue
2026-04-09,30,9,Sales_Ops_Queue,1,1,0,0,0,0,0%,0%,0%,1,1,1,100%,100%,100%,0:00:04,0:00:04,0:01:02,0:00:03,0,9,4,2026,Q2,0:01:05,#VALUE!,46121Sales_Ops_Queue
2026-04-11,31,11,Sales_Ops_Queue,1,2,0,0,0,0,0%,0%,0%,1,2,2,100%,100%,100%,0:00:06,0:00:06,0:02:50,0:00:08,0,11,4,2026,Q2,0:02:58,#VALUE!,46123Sales_Ops_Queue
2026-04-12,32,12,Sales_Ops_Queue,1,9,0,2,0,2,22%,0%,100%,1,7,7,78%,78%,78%,0:00:51,0:00:07,0:02:46,0:00:03,0,12,4,2026,Q2,0:02:49,#VALUE!,46124Sales_Ops_Queue
